time,x,y,z
0,358.3099,-4.176392,358.6732
0.02,358.3099,-4.176392,358.6732
0.3533334,358.3199,-4.185333,358.6728
0.3692729,11.69384,45.97418,355.9053
0.377833,9.61809,45.32993,355.8055
0.3885838,9.240277,45.25307,355.7916
0.4025911,8.859351,45.16607,355.7257
0.4105902,8.497158,45.0878,355.675
0.4218223,8.187578,45.01057,355.6252
0.4329298,7.909063,44.95805,355.5822
0.4442755,7.656764,44.92114,355.5495
0.4553745,7.406047,44.88914,355.5029
0.4665586,7.206282,44.85741,355.4613
0.4777211,7.007207,44.84264,355.4232
0.4886912,6.872479,44.82644,355.3723
0.4998882,6.762953,44.80737,355.3364
0.5117841,6.661534,44.79247,355.3185
0.521839,6.567236,44.78393,355.3065
0.5324816,6.512704,44.75638,355.2789
0.5437062,6.468931,44.74485,355.2614
0.55514,6.443507,44.71426,355.2261
0.5661053,6.465274,44.67066,355.1754
0.5775403,6.470321,44.63445,355.1276
0.5884479,6.441921,44.61037,355.1129
0.5994944,6.344092,44.58338,355.1255
0.6107596,6.193119,44.54299,355.0999
0.6254435,6.012896,44.49725,355.1011
0.6336995,5.830998,44.45839,355.1107
0.6569865,5.552411,44.38918,355.1491
0.6654462,5.437418,44.36424,355.1721
0.6765476,5.318962,44.3217,355.1877
0.689835,5.20889,44.29615,355.2001
0.6989918,5.117291,44.25032,355.2255
0.7101389,5.059625,44.20359,355.2398
0.7226291,4.998896,44.16973,355.2546
0.7325059,4.945547,44.10703,355.2682
0.7438504,4.901223,44.04747,355.2638
0.7560459,4.86573,44.0033,355.2734
0.765794,4.82045,43.94401,355.274
0.7768717,4.760474,43.89713,355.2704
0.7894325,4.697206,43.84129,355.2646
0.7995295,4.627354,43.7839,355.2522
0.8104426,4.546256,43.72255,355.2397
0.8232329,4.489751,43.67934,355.2313
0.832713,4.429599,43.6349,355.2143
0.8439085,4.371348,43.56515,355.216
0.8564609,4.303773,43.51296,355.1993
0.8664708,4.251874,43.47263,355.1808
0.8776362,4.19364,43.43396,355.1838
0.8904119,4.138053,43.40396,355.1788
0.9014243,4.095454,43.3712,355.1516
0.9136222,4.050012,43.35015,355.1554
0.9228073,4.015043,43.32285,355.1572
0.9334913,3.995291,43.28765,355.1839
0.947413,3.970497,43.25509,355.2041
0.9558977,3.967977,43.22757,355.222
0.9668897,3.964114,43.19661,355.2178
0.9803252,3.953425,43.1817,355.2162
0.9891365,3.952698,43.17036,355.2069
1.00054,3.938914,43.15205,355.1961
1.013131,3.940006,43.11842,355.19
1.023221,3.9442,43.08912,355.1789
1.034187,3.970783,43.06025,355.1743
1.047314,3.984048,43.02857,355.1614
1.056304,4.001831,42.98883,355.1526
1.067502,4.015183,42.94666,355.1128
1.081003,4.029274,42.92363,355.0978
1.090222,4.02843,42.88553,355.0776
1.101142,4.022302,42.8321,355.0635
1.114534,4.025932,42.78651,355.0487
1.123593,4.019788,42.73535,355.0349
1.134939,4.020917,42.66891,355.0363
1.148702,4.024593,42.60947,355.0077
1.156917,4.007438,42.54116,354.9909
1.168126,3.998047,42.48103,354.9838
1.18235,3.990212,42.40559,354.9778
1.190519,3.980664,42.32583,354.9618
1.201967,3.997171,42.22355,354.9535
1.215067,4.030578,42.10717,354.9517
1.224638,4.053071,41.98588,354.9557
1.235422,4.07603,41.83444,354.9595
1.247994,4.076016,41.68699,354.961
1.25758,4.054065,41.49107,354.9609
1.268784,4.046505,41.30273,354.9506
1.282535,4.038362,41.09089,354.9403
1.291377,4.035658,40.88166,354.9253
1.302207,4.015585,40.64788,354.9095
1.314976,3.993031,40.41291,354.8929
1.324763,3.977041,40.15184,354.8716
1.335952,3.973239,39.8835,354.844
1.348852,3.975329,39.60736,354.8154
1.358234,3.973738,39.32894,354.7793
1.36921,3.966552,39.04618,354.7644
1.382828,3.953809,38.76978,354.735
1.391526,3.953685,38.51234,354.7016
1.403715,3.934981,38.25675,354.6673
1.415725,3.918597,37.99934,354.6555
1.425012,3.901125,37.72407,354.6471
1.436331,3.880443,37.40681,354.6608
1.449149,3.876856,37.06642,354.6752
1.458785,3.874505,36.69088,354.7194
1.470865,3.857702,36.25982,354.756
1.483095,3.834356,35.73491,354.8321
1.492187,3.787582,35.1925,354.8998
1.503501,3.7466,34.55842,354.9823
1.516041,3.720819,33.82666,355.0904
1.525542,3.710252,33.04666,355.2029
1.537105,3.737023,32.18242,355.3007
1.550008,3.828544,31.25557,355.3916
1.559148,3.917725,30.27795,355.4518
1.570104,4.06295,29.24265,355.4892
1.583205,4.204892,28.14443,355.5374
